From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
O60504	O60504	reviewed	VINEX_HUMAN	Vinexin (SH3-containing adapter molecule 1) (SCAM-1) (Sorbin and SH3 domain-containing protein 3)	SORBS3 SCAM1	Homo sapiens (Human)	671
Q99733	Q99733	reviewed	NP1L4_HUMAN	Nucleosome assembly protein 1-like 4 (Nucleosome assembly protein 2) (NAP-2)	NAP1L4 NAP2	Homo sapiens (Human)	375
P55209	P55209	reviewed	NP1L1_HUMAN	Nucleosome assembly protein 1-like 1 (NAP-1-related protein) (hNRP)	NAP1L1 NRP	Homo sapiens (Human)	391
P47755	P47755	reviewed	CAZA2_HUMAN	F-actin-capping protein subunit alpha-2 (CapZ alpha-2)	CAPZA2	Homo sapiens (Human)	286
Q8IV50	Q8IV50	reviewed	LYSM2_HUMAN	LysM and putative peptidoglycan-binding domain-containing protein 2	LYSMD2	Homo sapiens (Human)	215
Q702N8	Q702N8	reviewed	XIRP1_HUMAN	Xin actin-binding repeat-containing protein 1 (Cardiomyopathy-associated protein 1)	XIRP1 CMYA1 XIN	Homo sapiens (Human)	1843
Q9Y5S9	Q9Y5S9	reviewed	RBM8A_HUMAN	RNA-binding protein 8A (Binder of OVCA1-1) (BOV-1) (RNA-binding motif protein 8A) (RNA-binding protein Y14) (Ribonucleoprotein RBM8A)	RBM8A RBM8 HSPC114 MDS014	Homo sapiens (Human)	174
Q9NYM9	Q9NYM9	reviewed	BET1L_HUMAN	BET1-like protein (Golgi SNARE with a size of 15 kDa) (GOS-15) (GS15) (Vesicle transport protein GOS15)	BET1L GS15	Homo sapiens (Human)	111
Q9UK97	Q9UK97	reviewed	FBX9_HUMAN	F-box only protein 9 (Cross-immune reaction antigen 1) (Renal carcinoma antigen NY-REN-57)	FBXO9 FBX9 VCIA1	Homo sapiens (Human)	447
Q86VR2	Q86VR2	reviewed	RETR3_HUMAN	Reticulophagy regulator 3	RETREG3 FAM134C	Homo sapiens (Human)	466
P54274	P54274	reviewed	TERF1_HUMAN	Telomeric repeat-binding factor 1 (NIMA-interacting protein 2) (TTAGGG repeat-binding factor 1) (Telomeric protein Pin2/TRF1)	TERF1 PIN2 TRBF1 TRF TRF1	Homo sapiens (Human)	439
Q8IZM8	Q8IZM8	reviewed	ZN654_HUMAN	Zinc finger protein 654 (Melanoma-associated antigen)	ZNF654	Homo sapiens (Human)	1128
Q13838	Q13838	reviewed	DX39B_HUMAN	Spliceosome RNA helicase DDX39B (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (ATP-dependent RNA helicase p47) (DEAD box protein UAP56) (HLA-B-associated transcript 1 protein)	DDX39B BAT1 UAP56	Homo sapiens (Human)	428
P52565	P52565	reviewed	GDIR1_HUMAN	Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (Rho-GDI alpha)	ARHGDIA GDIA1	Homo sapiens (Human)	204
O15541	O15541	reviewed	R113A_HUMAN	E3 ubiquitin-protein ligase RNF113A (EC 2.3.2.27) (Cwc24 homolog) (RING finger protein 113A) (Zinc finger protein 183)	RNF113A RNF113 ZNF183	Homo sapiens (Human)	343
O60869	O60869	reviewed	EDF1_HUMAN	Endothelial differentiation-related factor 1 (EDF-1) (Multiprotein-bridging factor 1) (MBF1)	EDF1	Homo sapiens (Human)	148
P49736	P49736	reviewed	MCM2_HUMAN	DNA replication licensing factor MCM2 (Minichromosome maintenance protein 2 homolog) (Nuclear protein BM28)	MCM2 BM28 CCNL1 CDCL1 KIAA0030	Homo sapiens (Human)	904
Q7L099	Q7L099	reviewed	RUFY3_HUMAN	Protein RUFY3 (RUN and FYVE domain-containing protein 3) (Rap2-interacting protein x) (RIPx) (Single axon-regulated protein) (Singar)	RUFY3 KIAA0871	Homo sapiens (Human)	469
O95295	O95295	reviewed	SNAPN_HUMAN	SNARE-associated protein Snapin (Biogenesis of lysosome-related organelles complex 1 subunit 7) (BLOC-1 subunit 7) (Synaptosomal-associated protein 25-binding protein) (SNAP-associated protein)	SNAPIN BLOC1S7 SNAP25BP SNAPAP	Homo sapiens (Human)	136
Q96SW2	Q96SW2	reviewed	CRBN_HUMAN	Protein cereblon	CRBN AD-006	Homo sapiens (Human)	442
Q8NC56	Q8NC56	reviewed	LEMD2_HUMAN	LEM domain-containing protein 2 (hLEM2)	LEMD2	Homo sapiens (Human)	503
P50579	P50579	reviewed	MAP2_HUMAN	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Initiation factor 2-associated 67 kDa glycoprotein) (p67) (p67eIF2) (Peptidase M)	METAP2 MNPEP P67EIF2	Homo sapiens (Human)	478
Q16643	Q16643	reviewed	DREB_HUMAN	Drebrin (Developmentally-regulated brain protein)	DBN1 D0S117E	Homo sapiens (Human)	649
Q6ZN30	Q6ZN30	reviewed	BNC2_HUMAN	Zinc finger protein basonuclin-2	BNC2	Homo sapiens (Human)	1099
Q9P289	Q9P289	reviewed	STK26_HUMAN	Serine/threonine-protein kinase 26 (EC 2.7.11.1) (MST3 and SOK1-related kinase) (Mammalian STE20-like protein kinase 4) (MST-4) (STE20-like kinase MST4) (Serine/threonine-protein kinase MASK)	STK26 MASK MST4	Homo sapiens (Human)	416
Q9Y6E0	Q9Y6E0	reviewed	STK24_HUMAN	Serine/threonine-protein kinase 24 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 3) (MST-3) (STE20-like kinase MST3) [Cleaved into: Serine/threonine-protein kinase 24 36 kDa subunit (Mammalian STE20-like protein kinase 3 N-terminal) (MST3/N); Serine/threonine-protein kinase 24 12 kDa subunit (Mammalian STE20-like protein kinase 3 C-terminal) (MST3/C)]	STK24 MST3 STK3	Homo sapiens (Human)	443
P36021	P36021	reviewed	MOT8_HUMAN	Monocarboxylate transporter 8 (MCT 8) (Monocarboxylate transporter 7) (MCT 7) (Solute carrier family 16 member 2) (X-linked PEST-containing transporter)	SLC16A2 MCT8 XPCT	Homo sapiens (Human)	539
Q9H4Z3	Q9H4Z3	reviewed	CAPAM_HUMAN	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase (EC 2.1.1.62) (Cap-specific adenosine methyltransferase) (CAPAM) (hCAPAM) (Phosphorylated CTD-interacting factor 1) (hPCIF1) (Protein phosphatase 1 regulatory subunit 121)	PCIF1 C20orf67 CAPAM PPP1R121	Homo sapiens (Human)	704
O14579	O14579	reviewed	COPE_HUMAN	Coatomer subunit epsilon (Epsilon-coat protein) (Epsilon-COP)	COPE	Homo sapiens (Human)	308
P78347	P78347	reviewed	GTF2I_HUMAN	General transcription factor II-I (GTFII-I) (TFII-I) (Bruton tyrosine kinase-associated protein 135) (BAP-135) (BTK-associated protein 135) (SRF-Phox1-interacting protein) (SPIN) (Williams-Beuren syndrome chromosomal region 6 protein)	GTF2I BAP135 WBSCR6	Homo sapiens (Human)	998
Q63ZY3	Q63ZY3	reviewed	KANK2_HUMAN	KN motif and ankyrin repeat domain-containing protein 2 (Ankyrin repeat domain-containing protein 25) (Matrix-remodeling-associated protein 3) (SRC-1-interacting protein) (SIP) (SRC-interacting protein) (SRC1-interacting protein)	KANK2 ANKRD25 KIAA1518 MXRA3 SIP	Homo sapiens (Human)	851
Q9NVC3	Q9NVC3	reviewed	S38A7_HUMAN	Putative sodium-coupled neutral amino acid transporter 7 (Solute carrier family 38 member 7)	SLC38A7 SNAT7	Homo sapiens (Human)	462
Q9BWQ6	Q9BWQ6	reviewed	YIPF2_HUMAN	Protein YIPF2 (YIP1 family member 2)	YIPF2	Homo sapiens (Human)	316
Q9BQJ4	Q9BQJ4	reviewed	TMM47_HUMAN	Transmembrane protein 47 (Brain cell membrane protein 1) (Transmembrane 4 superfamily member 10)	TMEM47 BCMP1 TM4SF10	Homo sapiens (Human)	181
Q6P2E9	Q6P2E9	reviewed	EDC4_HUMAN	Enhancer of mRNA-decapping protein 4 (Autoantigen Ge-1) (Autoantigen RCD-8) (Human enhancer of decapping large subunit) (Hedls)	EDC4 HEDLS	Homo sapiens (Human)	1401
P50851	P50851	reviewed	LRBA_HUMAN	Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein) (CDC4-like protein)	LRBA BGL CDC4L LBA	Homo sapiens (Human)	2863
Q5JSH3	Q5JSH3	reviewed	WDR44_HUMAN	WD repeat-containing protein 44 (Rabphilin-11)	WDR44 RPH11	Homo sapiens (Human)	913
Q9H4A4	Q9H4A4	reviewed	AMPB_HUMAN	Aminopeptidase B (AP-B) (EC 3.4.11.6) (Arginine aminopeptidase) (Arginyl aminopeptidase)	RNPEP APB	Homo sapiens (Human)	650
P23528	P23528	reviewed	COF1_HUMAN	Cofilin-1 (18 kDa phosphoprotein) (p18) (Cofilin, non-muscle isoform)	CFL1 CFL	Homo sapiens (Human)	166
P60981	P60981	reviewed	DEST_HUMAN	Destrin (Actin-depolymerizing factor) (ADF)	DSTN ACTDP DSN	Homo sapiens (Human)	165
Q9Y281	Q9Y281	reviewed	COF2_HUMAN	Cofilin-2 (Cofilin, muscle isoform)	CFL2	Homo sapiens (Human)	166
Q8TDB6	Q8TDB6	reviewed	DTX3L_HUMAN	E3 ubiquitin-protein ligase DTX3L (EC 2.3.2.27) (B-lymphoma- and BAL-associated protein) (Protein deltex-3-like) (RING-type E3 ubiquitin transferase DTX3L) (Rhysin-2) (Rhysin2)	DTX3L BBAP	Homo sapiens (Human)	740
Q9P253	Q9P253	reviewed	VPS18_HUMAN	Vacuolar protein sorting-associated protein 18 homolog (hVPS18)	VPS18 KIAA1475	Homo sapiens (Human)	973
O60762	O60762	reviewed	DPM1_HUMAN	Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase subunit 1)	DPM1	Homo sapiens (Human)	260
Q99594	Q99594	reviewed	TEAD3_HUMAN	Transcriptional enhancer factor TEF-5 (DTEF-1) (TEA domain family member 3) (TEAD-3)	TEAD3 TEAD5 TEF5	Homo sapiens (Human)	435
O15131	O15131	reviewed	IMA6_HUMAN	Importin subunit alpha-6 (Karyopherin subunit alpha-5)	KPNA5	Homo sapiens (Human)	539
P35568	P35568	reviewed	IRS1_HUMAN	Insulin receptor substrate 1 (IRS-1)	IRS1	Homo sapiens (Human)	1242
Q13601	Q13601	reviewed	KRR1_HUMAN	KRR1 small subunit processome component homolog (HIV-1 Rev-binding protein 2) (KRR-R motif-containing protein 1) (Rev-interacting protein 1) (Rip-1)	KRR1 HRB2	Homo sapiens (Human)	381
P49356	P49356	reviewed	FNTB_HUMAN	Protein farnesyltransferase subunit beta (FTase-beta) (EC 2.5.1.58) (CAAX farnesyltransferase subunit beta) (Ras proteins prenyltransferase subunit beta)	FNTB	Homo sapiens (Human)	437
Q13557	Q13557	reviewed	KCC2D_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta) (EC 2.7.11.17)	CAMK2D CAMKD	Homo sapiens (Human)	499
Q9P0P0	Q9P0P0	reviewed	RN181_HUMAN	E3 ubiquitin-protein ligase RNF181 (EC 2.3.2.27) (RING finger protein 181)	RNF181 HSPC238	Homo sapiens (Human)	153
Q15020	Q15020	reviewed	SART3_HUMAN	Squamous cell carcinoma antigen recognized by T-cells 3 (SART-3) (Tat-interacting protein of 110 kDa) (Tip110) (p110 nuclear RNA-binding protein)	SART3 KIAA0156 TIP110	Homo sapiens (Human)	963
O60293	O60293	reviewed	ZC3H1_HUMAN	Zinc finger C3H1 domain-containing protein (Coiled-coil domain-containing protein 131) (Proline/serine-rich coiled-coil protein 2)	ZFC3H1 CCDC131 KIAA0546 PSRC2	Homo sapiens (Human)	1989
Q9NVH1	Q9NVH1	reviewed	DJC11_HUMAN	DnaJ homolog subfamily C member 11	DNAJC11	Homo sapiens (Human)	559
Q9C0J8	Q9C0J8	reviewed	WDR33_HUMAN	pre-mRNA 3' end processing protein WDR33 (WD repeat-containing protein 33) (WD repeat-containing protein of 146 kDa)	WDR33 WDC146	Homo sapiens (Human)	1336
Q9NVD7	Q9NVD7	reviewed	PARVA_HUMAN	Alpha-parvin (Actopaxin) (CH-ILKBP) (Calponin-like integrin-linked kinase-binding protein) (Matrix-remodeling-associated protein 2)	PARVA MXRA2	Homo sapiens (Human)	372
P06730	P06730	reviewed	IF4E_HUMAN	Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein)	EIF4E EIF4EL1 EIF4F	Homo sapiens (Human)	217
P46821	P46821	reviewed	MAP1B_HUMAN	Microtubule-associated protein 1B (MAP-1B) [Cleaved into: MAP1B heavy chain; MAP1 light chain LC1]	MAP1B	Homo sapiens (Human)	2468
Q9NVA2	Q9NVA2	reviewed	SEP11_HUMAN	Septin-11	SEPTIN11 SEPT11	Homo sapiens (Human)	429
Q9Y277	Q9Y277	reviewed	VDAC3_HUMAN	Voltage-dependent anion-selective channel protein 3 (VDAC-3) (hVDAC3) (Outer mitochondrial membrane protein porin 3)	VDAC3	Homo sapiens (Human)	283
Q9P1Y6	Q9P1Y6	reviewed	PHRF1_HUMAN	PHD and RING finger domain-containing protein 1	PHRF1 KIAA1542	Homo sapiens (Human)	1649
P51636	P51636	reviewed	CAV2_HUMAN	Caveolin-2	CAV2	Homo sapiens (Human)	162
Q9NZT2	Q9NZT2	reviewed	OGFR_HUMAN	Opioid growth factor receptor (OGFr) (Protein 7-60) (Zeta-type opioid receptor)	OGFR	Homo sapiens (Human)	677
Q9HC35	Q9HC35	reviewed	EMAL4_HUMAN	Echinoderm microtubule-associated protein-like 4 (EMAP-4) (Restrictedly overexpressed proliferation-associated protein) (Ropp 120)	EML4 C2orf2 EMAPL4	Homo sapiens (Human)	981
Q06330	Q06330	reviewed	SUH_HUMAN	Recombining binding protein suppressor of hairless (CBF-1) (J kappa-recombination signal-binding protein) (RBP-J kappa) (RBP-J) (RBP-JK) (Renal carcinoma antigen NY-REN-30)	RBPJ IGKJRB IGKJRB1 RBPJK RBPSUH	Homo sapiens (Human)	500
Q9H0C8	Q9H0C8	reviewed	ILKAP_HUMAN	Integrin-linked kinase-associated serine/threonine phosphatase 2C (ILKAP) (EC 3.1.3.16)	ILKAP	Homo sapiens (Human)	392
O00161	O00161	reviewed	SNP23_HUMAN	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)	SNAP23	Homo sapiens (Human)	211
P50402	P50402	reviewed	EMD_HUMAN	Emerin	EMD EDMD STA	Homo sapiens (Human)	254
Q9BSE4	Q9BSE4	reviewed	HERP2_HUMAN	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein	HERPUD2	Homo sapiens (Human)	406
O43399	O43399	reviewed	TPD54_HUMAN	Tumor protein D54 (hD54) (Tumor protein D52-like 2)	TPD52L2	Homo sapiens (Human)	206
Q8WTS6	Q8WTS6	reviewed	SETD7_HUMAN	Histone-lysine N-methyltransferase SETD7 (EC 2.1.1.364) (Histone H3-K4 methyltransferase SETD7) (H3-K4-HMTase SETD7) (Lysine N-methyltransferase 7) (SET domain-containing protein 7) (SET7/9)	SETD7 KIAA1717 KMT7 SET7 SET9	Homo sapiens (Human)	366
O60662	O60662	reviewed	KLH41_HUMAN	Kelch-like protein 41 (Kel-like protein 23) (Kelch repeat and BTB domain-containing protein 10) (Kelch-related protein 1) (Sarcosin)	KLHL41 KBTBD10 KRP1	Homo sapiens (Human)	606
Q15029	Q15029	reviewed	U5S1_HUMAN	116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain-containing protein 2) (SNU114 homolog) (hSNU114) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)	EFTUD2 KIAA0031 SNRP116	Homo sapiens (Human)	972
O14979	O14979	reviewed	HNRDL_HUMAN	Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1)	HNRNPDL HNRPDL JKTBP	Homo sapiens (Human)	420
P06748	P06748	reviewed	NPM_HUMAN	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1 NPM	Homo sapiens (Human)	294
Q8N720	Q8N720	reviewed	ZN655_HUMAN	Zinc finger protein 655 (Vav-interacting Krueppel-like protein)	ZNF655 VIK	Homo sapiens (Human)	491
Q96HH4	Q96HH4	reviewed	TM169_HUMAN	Transmembrane protein 169	TMEM169	Homo sapiens (Human)	297
O60285	O60285	reviewed	NUAK1_HUMAN	NUAK family SNF1-like kinase 1 (EC 2.7.11.1) (AMPK-related protein kinase 5) (ARK5) (Omphalocele kinase 1)	NUAK1 ARK5 KIAA0537 OMPHK1	Homo sapiens (Human)	661
Q9P0U4	Q9P0U4	reviewed	CXXC1_HUMAN	CXXC-type zinc finger protein 1 (CpG-binding protein) (PHD finger and CXXC domain-containing protein 1)	CXXC1 CFP1 CGBP PCCX1 PHF18	Homo sapiens (Human)	656
Q9BZF1	Q9BZF1	reviewed	OSBL8_HUMAN	Oxysterol-binding protein-related protein 8 (ORP-8) (OSBP-related protein 8)	OSBPL8 KIAA1451 ORP8 OSBP10	Homo sapiens (Human)	889
Q8N697	Q8N697	reviewed	S15A4_HUMAN	Solute carrier family 15 member 4 (Peptide transporter 4) (Peptide/histidine transporter 1) (hPHT1)	SLC15A4 PHT1 PTR4 FP12591	Homo sapiens (Human)	577
Q9H3H3	Q9H3H3	reviewed	CK068_HUMAN	UPF0696 protein C11orf68 (Basophilic leukemia-expressed protein Bles03) (Protein p5326)	C11orf68 BLES03	Homo sapiens (Human)	292
Q13698	Q13698	reviewed	CAC1S_HUMAN	Voltage-dependent L-type calcium channel subunit alpha-1S (Calcium channel, L type, alpha-1 polypeptide, isoform 3, skeletal muscle) (Voltage-gated calcium channel subunit alpha Cav1.1)	CACNA1S CACH1 CACN1 CACNL1A3	Homo sapiens (Human)	1873
P28347	P28347	reviewed	TEAD1_HUMAN	Transcriptional enhancer factor TEF-1 (NTEF-1) (Protein GT-IIC) (TEA domain family member 1) (TEAD-1) (Transcription factor 13) (TCF-13)	TEAD1 TCF13 TEF1	Homo sapiens (Human)	426
Q70E73	Q70E73	reviewed	RAPH1_HUMAN	Ras-associated and pleckstrin homology domains-containing protein 1 (RAPH1) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 18 protein) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 9 protein) (Lamellipodin) (Proline-rich EVH1 ligand 2) (PREL-2) (Protein RMO1)	RAPH1 ALS2CR18 ALS2CR9 KIAA1681 LPD PREL2 RMO1	Homo sapiens (Human)	1250
Q16878	Q16878	reviewed	CDO1_HUMAN	Cysteine dioxygenase type 1 (EC 1.13.11.20) (Cysteine dioxygenase type I) (CDO) (CDO-I)	CDO1	Homo sapiens (Human)	200
Q86VQ6	Q86VQ6	reviewed	TRXR3_HUMAN	Thioredoxin reductase 3 (EC 1.8.1.9) (Thioredoxin and glutathione reductase) (Thioredoxin reductase TR2)	TXNRD3 TGR TRXR3	Homo sapiens (Human)	643
O43760	O43760	reviewed	SNG2_HUMAN	Synaptogyrin-2 (Cellugyrin)	SYNGR2 UNQ352/PRO615	Homo sapiens (Human)	224
O60684	O60684	reviewed	IMA7_HUMAN	Importin subunit alpha-7 (Karyopherin subunit alpha-6)	KPNA6 IPOA7	Homo sapiens (Human)	536
Q9NWV8	Q9NWV8	reviewed	BABA1_HUMAN	BRISC and BRCA1-A complex member 1 (Mediator of RAP80 interactions and targeting subunit of 40 kDa) (New component of the BRCA1-A complex)	BABAM1 C19orf62 MERIT40 NBA1 HSPC142	Homo sapiens (Human)	329
Q14934	Q14934	reviewed	NFAC4_HUMAN	Nuclear factor of activated T-cells, cytoplasmic 4 (NF-ATc4) (NFATc4) (T-cell transcription factor NFAT3) (NF-AT3)	NFATC4 NFAT3	Homo sapiens (Human)	902
Q9BXP5	Q9BXP5	reviewed	SRRT_HUMAN	Serrate RNA effector molecule homolog (Arsenite-resistance protein 2)	SRRT ARS2 ASR2	Homo sapiens (Human)	876
Q14872	Q14872	reviewed	MTF1_HUMAN	Metal regulatory transcription factor 1 (MRE-binding transcription factor) (Transcription factor MTF-1)	MTF1	Homo sapiens (Human)	753
P62273	P62273	reviewed	RS29_HUMAN	40S ribosomal protein S29 (Small ribosomal subunit protein uS14)	RPS29	Homo sapiens (Human)	56
Q6AW86	Q6AW86	reviewed	Z324B_HUMAN	Zinc finger protein 324B	ZNF324B	Homo sapiens (Human)	544
Q70Z53	Q70Z53	reviewed	F10C1_HUMAN	Protein FRA10AC1	FRA10AC1 C10orf4 PRO2972	Homo sapiens (Human)	315
Q5BJH7	Q5BJH7	reviewed	YIF1B_HUMAN	Protein YIF1B (YIP1-interacting factor homolog B)	YIF1B PP4519 UNQ3073/PRO9905	Homo sapiens (Human)	314
P84103	P84103	reviewed	SRSF3_HUMAN	Serine/arginine-rich splicing factor 3 (Pre-mRNA-splicing factor SRP20) (Splicing factor, arginine/serine-rich 3)	SRSF3 SFRS3 SRP20	Homo sapiens (Human)	164
O95379	O95379	reviewed	TFIP8_HUMAN	Tumor necrosis factor alpha-induced protein 8 (TNF alpha-induced protein 8) (Head and neck tumor and metastasis-related protein) (MDC-3.13) (NF-kappa-B-inducible DED-containing protein) (NDED) (SCC-S2) (TNF-induced protein GG2-1)	TNFAIP8	Homo sapiens (Human)	198
Q15772	Q15772	reviewed	SPEG_HUMAN	Striated muscle preferentially expressed protein kinase (EC 2.7.11.1) (Aortic preferentially expressed protein 1) (APEG-1)	SPEG APEG1 KIAA1297	Homo sapiens (Human)	3267
P35613	P35613	reviewed	BASI_HUMAN	Basigin (5F7) (Collagenase stimulatory factor) (Extracellular matrix metalloproteinase inducer) (EMMPRIN) (Hepatoma-associated antigen) (HAb18G) (Leukocyte activation antigen M6) (OK blood group antigen) (Tumor cell-derived collagenase stimulatory factor) (TCSF) (CD antigen CD147)	BSG UNQ6505/PRO21383	Homo sapiens (Human)	385
A0AV02	A0AV02	reviewed	S12A8_HUMAN	Solute carrier family 12 member 8 (Cation-chloride cotransporter 9)	SLC12A8 CCC9	Homo sapiens (Human)	714
Q9HAS0	Q9HAS0	reviewed	NJMU_HUMAN	Protein Njmu-R1	C17orf75	Homo sapiens (Human)	396
